Job-Type,Comany,Location,Duration (Months),Stripend (monthly),Incentives,Apply-By,Part-Time,Start
Marketing,BYJU'S The Learning App,Gwalior,2,15000,,2 Aug' 21,,Immediately
Social Media Marketing,Times Internet,Work From Home,6,6000,,2 Aug' 21,,Immediately
Crowdfunding Ambassador - July Volunteer Drive (Openings: 250),Akshaya Patra Foundation,Work From Home,3,Unpaid,,2 Aug' 21,Yes,Immediately
Marketing,BYJU'S The Learning App,IdukkiErnakulam,2,18000,,1 Aug' 21,,Immediately
Search Engine Optimization (SEO),Fashion TV,Mumbai,3,2500-5000,,1 Aug' 21,,Immediately
Digital Marketing,Fashion TV,Mumbai,3,2500-5000,,1 Aug' 21,,Immediately
Business Development (Sales),Urban Company,Bangalore,3,10000,,1 Aug' 21,,Immediately
Content Writing,Times Internet,Work From Home,6,10000,,7 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Lucknow,3,12000-15000,,16 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Silchar,2,18000,,4 Aug' 21,,1 Aug - 7 Aug' 21
Marketing,BYJU'S The Learning App,AgartalaBongaigaonLakhimpur,2,18000,,3 Aug' 21,,1 Aug - 31 Aug' 21
Human Resources (HR),Kryptonas Innovations Private Limited,DelhiGhaziabadMeerutGreater NoidaNoida,6,5000-8000,,14 Aug' 21,,Immediately
Content Writing,Dope Tech,Work From Home,1,1000,,14 Aug' 21,Yes,Immediately
General Management (Assistance),Blush N More,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Software Testing,Blush N More,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Web Development (Wix),Blush N More,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
General Management,Blush N More,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Full Stack Development,Blush N More,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Graphic Design,Blush N More,Work From Home,2,1000,,14 Aug' 21,,Immediately
Content Writing,Blush N More,Work From Home,3,1000,,14 Aug' 21,,Immediately
Audio Making/Editing,Blush N More,Work From Home,3,1000,,14 Aug' 21,,Immediately
Marketing,ITinker,Work From Home,1,2500-5000,,14 Aug' 21,Yes,Immediately
Content Writing,Hotel Dekho.com Private Limited,Work From Home,3,5000,,14 Aug' 21,,Immediately
Social Media Marketing,Movixpresso,Work From Home,1,1000,Yes,14 Aug' 21,Yes,Immediately
Java Development,Charm Emporium,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Spring Boot Development (Java),Charm Emporium,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Software Testing,Charm Emporium,Work From Home,3,1000,,14 Aug' 21,,Immediately
Wix Web Development,Charm Emporium,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Relationship Management,Charm Emporium,Work From Home,2,1000,,14 Aug' 21,Yes,Immediately
Strategic Relationship Management,Go2Words,Work From Home,2,1000,,14 Aug' 21,Yes,Immediately
Wix Development,Go2Words,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Intraprenurship Assistance,Go2Words,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
DevOps Engineering,Go2Words,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Full Stack Development,Go2Words,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Business Development (Sales),Jankalyan Multipurpose Education Socitey,Work From Home,1 (Week),Unpaid,,14 Aug' 21,Yes,Immediately
Business Development (Sales),Xcitedu,Work From Home,1,10000,,14 Aug' 21,,Immediately
Fundraising,Xcitedu,Work From Home,1,5000,,14 Aug' 21,,Immediately
Telecalling,Naitryon,Work From Home,3,,,14 Aug' 21,Yes,Immediately
Business Development (Sales),Xcitedu Software Solutions Private Limited,Work From Home,1,10000,,14 Aug' 21,,Immediately
Fundraising,Xcitedu Software Solutions Private Limited,Work From Home,1,5000,,14 Aug' 21,,Immediately
Interior Design,Hanto,Bangalore,6,8000,,14 Aug' 21,,Immediately
Accounts Management,Blush N More,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Content Writing,WriteSoft,Work From Home,2,1000-3000,,14 Aug' 21,Yes,Immediately
DevOps Engineering,Helping Hand,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Data Structure Development,Helping Hand,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
C & C++ Development,Helping Hand,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Machine Learning,Helping Hand,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
General Management,Helping Hand,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Motivational Speaker,Helping Hand,Work From Home,3,1000,,14 Aug' 21,Yes,Immediately
Business Development (Sales),Esanosys Technologies,Work From Home,3,10000,Yes,14 Aug' 21,,Immediately
Web Development,MFIT Technologies Private Limited,Work From Home,6,10000,,14 Aug' 21,,Immediately
UX/UI Design,Trippyigloo.com,Work From Home,6,2000,,14 Aug' 21,Yes,Immediately
Web Development,Grow Easy Hair Care Solutions Private Limited,Work From Home,2,1000-4000,,13 Aug' 21,,Immediately
Business Development (Sales),Lead & Sales,Work From Home,1,1500,,13 Aug' 21,Yes,Immediately
Full Stack Development,Apna Bazar,Work From Home,3,2000-4000,,13 Aug' 21,,Immediately
Business Development (Sales),ITinker,Work From Home,1,8000,Yes,13 Aug' 21,Yes,Immediately
Content Writing,Doubt Buddy Education Technology Private Limited,Work From Home,4,3000-5000,,13 Aug' 21,,Immediately
Social Media Marketing,Believable,Work From Home,2,1000,,13 Aug' 21,,Immediately
Facebook Marketing,Believable,Work From Home,2,1000,,13 Aug' 21,,Immediately
Marketing,Lead & Sales,Work From Home,1,1500,,13 Aug' 21,Yes,Immediately
Graphic Design,Smartways,DelhiGhaziabadGreater NoidaNoida,3,10000,,13 Aug' 21,,Immediately
Business Development (Sales),Lead & Sales,Work From Home,1,1500,,13 Aug' 21,Yes,Immediately
Video Making/Editing,Trivy Technologies Private Limited,Work From Home,2,1000,,13 Aug' 21,Yes,Immediately
Operations,Aumetric Solutions,VirarNaigaonVasaiNala Sopara,6,3000-6000,,13 Aug' 21,,Immediately
Graphic Design,Trivy Technologies Private Limited,Work From Home,2,1000,,13 Aug' 21,Yes,Immediately
Video Making/Editing,Youth India Foundation E-School,Work From Home,3,Unpaid,,13 Aug' 21,Yes,Immediately
Web Development,Snapyard Consultancy,Work From Home,4,5000-7000,,13 Aug' 21,,Immediately
Graphic Design,Sebastian Fitness Solutions,Work From Home,2,7000-10000,,13 Aug' 21,Yes,Immediately
Graphic Design,Bitwit Technologies,Work From Home,3,3000,,13 Aug' 21,,Immediately
Management Trainee,Traxive By Piyush Sharma,Work From Home,2,1000,,13 Aug' 21,Yes,Immediately
Operations,Traxive By Piyush Sharma,Work From Home,2,1000,,13 Aug' 21,Yes,Immediately
Graphic Design,Samshuchit Foods And Beverages Private Limited,Work From Home,2,2000,,13 Aug' 21,,Immediately
Content Writing,Stanford Arts Review,Work From Home,2,1000,,13 Aug' 21,Yes,Immediately
Marketing,Traxive By Piyush Sharma,Work From Home,2,1000,,13 Aug' 21,Yes,Immediately
Business Development (Sales),Traxive By Piyush Sharma,Work From Home,2,1000,,13 Aug' 21,Yes,Immediately
Content Writing,Bennett Technologies Private Limited,Work From Home,2,1000-3000,,13 Aug' 21,Yes,Immediately
Human Resources (HR),Bounce (Metrobikes),Bangalore,4,10000-12000,,13 Aug' 21,,Immediately
Operations,Modgenics Technology Solutions Private Limited,Work From Home,3,7000,,13 Aug' 21,,Immediately
Executive Assistant,Scale Labs,Hyderabad,6,7000,,13 Aug' 21,,Immediately
Marketing,Shine Projects,Work From Home,1,5000,,13 Aug' 21,Yes,Immediately
Human Resources (HR),Shine Projects,Work From Home,1,5000,,13 Aug' 21,Yes,Immediately
Live Doubt Solving (Mathematics),Contexto,Work From Home,3,7000,,13 Aug' 21,Yes,Immediately
Graphic Design,Dr. OP Bhalla Foundation,Work From Home,2,Unpaid,,13 Aug' 21,Yes,Immediately
Social Work,Youth Empowerment Foundation,Work From Home,1,Unpaid,,13 Aug' 21,Yes,Immediately
Web Development,BayesLabs,Work From Home,3,7000-10000,,13 Aug' 21,,Immediately
Operations,WiJungle - by HttpCart,Jaipur,2,14000-15000,,3 Sep' 21,,Immediately
Volunteering,Youth Empowerment Foundation,Work From Home,1,Unpaid,,13 Aug' 21,Yes,Immediately
Business Development (Sales),Lead & Sales,Work From Home,1,1500,,13 Aug' 21,Yes,Immediately
