Job-Type,Comany,Location,Duration (Months),Stripend (monthly),Incentives,Apply-By,Part-Time,Start
Marketing,Purple Tutor,Work From Home,2,5000,,12 Aug' 21,,Immediately
Teaching (Photoshop & Video Making),Littleinventors,Work From Home,6,5000-8000,,12 Aug' 21,Yes,Immediately
Mobile App Development,Nityo Infotech Services Private Limited,Work From Home,6,10000-20000,,12 Aug' 21,,Immediately
Digital Marketing,LeadStrategus,Bangalore,3,20000,,12 Aug' 21,,Immediately
Business Development (Sales),Tazza De,Bangalore,5,7500,,12 Aug' 21,,Immediately
Mobile App Development,CodeViner,Jaipur,6,10000,,12 Aug' 21,,Immediately
Social Work,Shreshtha Bharat Foundation,Work From Home,1,Unpaid,,12 Aug' 21,Yes,Immediately
Digital Marketing,GetGo Logistics Private Limited,Mumbai,6,10000,,12 Aug' 21,,Immediately
Public Relations,Traxive By Piyush Sharma,Work From Home,2,1000,,12 Aug' 21,Yes,Immediately
Human Resources (HR),Krisu Techkul Private Limited,Work From Home,2,5000,,12 Aug' 21,,Immediately
Graphic Design,Arbana Internet Private Limited,Pune,6,5000,,12 Aug' 21,,Immediately
Web Development,Fintricity,Work From Home,6,7500,,12 Aug' 21,,Immediately
Search Engine Optimization (SEO),Doctor Digial,Work From Home,6,5000,,12 Aug' 21,,Immediately
Videography,Arbana Internet Private Limited,Pune,5,7000,,12 Aug' 21,,Immediately
Web Development,CodeViner,Jaipur,6,5000,,12 Aug' 21,,Immediately
Digital Marketing,Arbana Internet Private Limited,Pune,6,6000,,12 Aug' 21,,Immediately
Business Development (Sales),SHADES - Ground & Around,Ahmedabad,3,5000,Yes,12 Aug' 21,,Immediately
Graphic Design,Arihant Infomatics,Work From Home,6,5000,,12 Aug' 21,Yes,Immediately
Full Stack Development,F2 Play Games Private Limited,Work From Home,3,3000-7000,,12 Aug' 21,,Immediately
Operations,Anteelo Design Private Limited,Work From Home,2,1000,,12 Aug' 21,,Immediately
Human Resources (HR),YantroMitra Learning Technologies,Work From Home,3,1000,,12 Aug' 21,Yes,Immediately
Graphic Design,Anteelo Design Private Limited,Work From Home,2,1000,,12 Aug' 21,,Immediately
Graphic Design,Drawww Media,Pune,6,5000,,12 Aug' 21,,Immediately
Content Writing,F2 Play Games Private Limited,Work From Home,3,3000-4000,,12 Aug' 21,,Immediately
Human Resources (HR),TapRootz,Work From Home,6,1000,Yes,12 Aug' 21,,Immediately
Graphic Design,Vanita Chitkara,Work From Home,3,9000,,12 Aug' 21,,Immediately
Business Development (Sales),Yellow Verandah,Hyderabad,6,15000,,12 Aug' 21,,Immediately
Web Development,Drawww Media,Pune,6,5000,,12 Aug' 21,,Immediately
Video Making/Editing,Anteelo Design Private Limited,Work From Home,2,1000,,12 Aug' 21,,Immediately
Motion Graphics/Designing,F5 Multimedia Studio Private Limited,Noida,3,8000-12000,,12 Aug' 21,,Immediately
Human Resources (HR),Emortech Systems Private Limited,Work From Home,3,2000,,12 Aug' 21,,Immediately
Digital Marketing,Drawww Media,Pune,6,5000,,12 Aug' 21,,Immediately
Digital Marketing,Alienenergy,Ghaziabad,3,2000,,12 Aug' 21,,Immediately
Human Resources (HR),Oregenal Electricals,Work From Home,3,4000,,12 Aug' 21,,Immediately
Telecalling,Anteelo Design Private Limited,Work From Home,2,1000,,12 Aug' 21,,Immediately
Business Development (Sales),Insync Marketing,Work From Home,6,5000,,12 Aug' 21,,Immediately
Digital Marketing,CakeFite,Work From Home,2,1000,,12 Aug' 21,,Immediately
Social Media Marketing,Studytonight,Noida,3,5000-8000,,12 Aug' 21,Yes,Immediately
Content Writing,Henry Harvin Education,Work From Home,6,2000,,12 Aug' 21,Yes,Immediately
Mobile App Development,S.N.M.B. News,Work From Home,3,1500,Yes,12 Aug' 21,Yes,31 Aug - 30 Sep' 21
Online Teaching (Turkish),Transchamp,Work From Home,6,4000-6000,,12 Aug' 21,Yes,Immediately
Online Teaching (Robotics & Programming),ScienceUtsav,Work From Home,6,5000-10000,,12 Aug' 21,Yes,Immediately
Operations,EzySchooling,Work From Home,4,2000-5000,,12 Aug' 21,,Immediately
Operations,Justfence (Dextra Square Private Limited),Bangalore,2,10000,,12 Aug' 21,,Immediately
Product Photography,Yellow Verandah,Hyderabad,3,8000,,12 Aug' 21,,Immediately
Mobile App Development,Connivia Tech Solutions Private Limited,Mumbai,6,10000,,12 Aug' 21,,Immediately
Content Writing,Phailaav,Work From Home,2,2000-7000,,12 Aug' 21,Yes,Immediately
Volunteering,Save The Paws,Mumbai,2,Unpaid,,12 Aug' 21,Yes,Immediately
Video Making/Editing,Storishh,Work From Home,1,1500,,12 Aug' 21,,Immediately
Content Writing,Webstenso LLP,Work From Home,3,3000,,12 Aug' 21,,Immediately
Web Development,BootSpider LLC,Delhi,3,5000,,12 Aug' 21,,Immediately
Graphic Design,A&N Group,DelhiFaridabad,6,7000-9000,,12 Aug' 21,,Immediately
Search Engine Optimization (SEO),Ameliorate Corporate Solutions Private Limited,Work From Home,6,5000,,12 Aug' 21,,Immediately
Graphic Design,Filmyloop,Work From Home,1,10000,,12 Aug' 21,,Immediately
Accounts,Justfence (Dextra Square Private Limited),Bangalore,2,10000,,12 Aug' 21,,Immediately
Operations,Synergy Shine Infra LLP,Gurgaon,6,20000,,12 Aug' 21,,Immediately
Content Writing (Tech),BrandKlick,Work From Home,3,5000,,12 Aug' 21,Yes,Immediately
Content Writing,Dakshakriti Product And Services Private Limited,Work From Home,3,1000-6000,,12 Aug' 21,,Immediately
Social Media Marketing,POSist Technologies Private Limited,Delhi,3,10000,,12 Aug' 21,,Immediately
Content Writing (Spanish),POSist Technologies Private Limited,Delhi,6,10000,,12 Aug' 21,,Immediately
Digital Marketing,Enormous Kart,Work From Home,3,1000,,12 Aug' 21,,Immediately
Customer Support,Bo International,Delhi,3,12000,,12 Aug' 21,,Immediately
Web Development,ImbibEnglish Services Private Limited,Work From Home,3,3500,,12 Aug' 21,,Immediately
Telecalling,Xeam Ventures Private Limited,Mohali,6,3000-7500,,12 Aug' 21,,Immediately
Graphic Design,Meghnad Desai Academy Of Economics,Work From Home,3,5000,,12 Aug' 21,,Immediately
Social Media Marketing,Teenage Coder,Work From Home,2,2000,,12 Aug' 21,Yes,Immediately
Business Development (Sales),Super CA,Work From Home,3,5000,Yes,12 Aug' 21,,Immediately
Android App Development,Zeedup Technologies & Services,Work From Home,2,5000-10000,,12 Aug' 21,Yes,Immediately
PHP Development,Ichelon Consulting Group,FaridabadDelhiGurgaonSohnaHaryana,1,8000-10000,,12 Aug' 21,,Immediately
Social Media Marketing,Leadozen,Work From Home,3,10000,,12 Aug' 21,,Immediately
Business Research,Dakshakriti Product And Services Private Limited,Work From Home,3,1000-6000,,12 Aug' 21,,Immediately
Operations,Ultrex Recreational Club,Gurgaon,3,2000-5000,,12 Aug' 21,,Immediately
Business Development (Sales),ETark,Work From Home,1,1000,Yes,12 Aug' 21,Yes,Immediately
Social Media Marketing,Good Graze,Work From Home,6,6000,,12 Aug' 21,,Immediately
Video Making/Editing,StartupLanes,Work From Home,6,5000,,12 Aug' 21,,Immediately
Market Research,Hykmann Technologies,Work From Home,3,4000,,12 Aug' 21,,Immediately
Backend Development (Node.js),9I Digital Services LLP,Work From Home,6,4500-7500,,12 Aug' 21,,Immediately
Web Development,MinimumQue AB,Work From Home,3,1000,,12 Aug' 21,,Immediately
Content Writing,CXO Branding,Bangalore,6,10000,,12 Aug' 21,,Immediately
Social Media Marketing,LetsDressUp,Gurgaon,3,10000-20000,,12 Aug' 21,,Immediately
Social Media Marketing,Ambica Uppal,Work From Home,6,4000,,12 Aug' 21,Yes,Immediately
Business Development (Sales),D-Alive Health Foods,Mumbai,3,4000,,12 Aug' 21,,Immediately
Graphic Design,REVES Enterprise Limited,Work From Home,6,10000,,12 Aug' 21,,Immediately
Marketing,Hydrogreens Agrisolutions Private Limited,Work From Home,1,3000-5000,,12 Aug' 21,,Immediately
Business Development (Sales),Make My Visiting Card,Work From Home,4,5000,Yes,12 Aug' 21,,Immediately
Content Writing,The Affordable Organic Store,Work From Home,6,1500,,12 Aug' 21,,Immediately
Mobile App Development,Its For You Private Limited,Work From Home,6,10000-20000,,12 Aug' 21,,Immediately
Mathematics Research,Newgen Creations Private Limited,Work From Home,2,2000,,12 Aug' 21,,Immediately
Business Research,Guru Square Private Limited,Work From Home,6,1000,Yes,12 Aug' 21,,Immediately
Graphic Design,Netleon Technologies Private Limited,Jaipur,6,5000,,12 Aug' 21,,Immediately
Data Entry & SEO Support,Avanzar Health,Work From Home,6,2000-4000,,12 Aug' 21,,Immediately
Content Writing,Netleon Technologies Private Limited,Jaipur,6,5000,,12 Aug' 21,,Immediately
Graphic Design,Gemystone E-Commerce LLP,Work From Home,1,1000,Yes,12 Aug' 21,Yes,Immediately
Business Development (Sales),Growtomation,Gurgaon,6,10000,,12 Aug' 21,,Immediately
Marketing,Made Differently By Divyangjan,Work From Home,1,10000,,12 Aug' 21,Yes,Immediately
Operations,Konnichiwa,Gurgaon,3,8000-12000,,12 Aug' 21,,Immediately
Business Development (Sales),Coding Spoon,Work From Home,2,1000,Yes,12 Aug' 21,Yes,Immediately
Operations,Sarvam Foundation,Work From Home,3,Unpaid,,12 Aug' 21,Yes,Immediately
Teaching (WordPress Development),ADotCreation,Work From Home,2,7000-10000,,12 Aug' 21,Yes,Immediately
Teaching,Eat English,Work From Home,6,1000,,12 Aug' 21,Yes,Immediately
MEAN Stack Development,TantraSoft Solutions (I) Private Limited,Mumbai,6,10000,,12 Aug' 21,,Immediately
Marketing,MyPencildotcom Magazine,Work From Home,3,2500,,12 Aug' 21,,Immediately
Facebook Marketing,Shreshtha Bharat Foundation,Work From Home,1,Unpaid,,12 Aug' 21,Yes,Immediately
Social Media Marketing,Shreshtha Bharat Foundation,Work From Home,2,Unpaid,,12 Aug' 21,Yes,Immediately
Online Marketing,Shreshtha Bharat Foundation,Work From Home,1,Unpaid,,12 Aug' 21,,Immediately
Digital Marketing,Shreshtha Bharat Foundation,Work From Home,1,Unpaid,,12 Aug' 21,Yes,Immediately
Social Media Marketing,ThePeopleCo CX Solutions (OPC) Private Limited,Work From Home,3,5000,,12 Aug' 21,,Immediately
Content Writing,Web Ache Solutions,Ahmedabad,6,8000,,12 Aug' 21,,Immediately
Operations,Bramdah,Work From Home,4,15000-20000,,12 Aug' 21,Yes,Immediately
Social Media Marketing,Ekal Shiksha,Work From Home,2,1500,,12 Aug' 21,Yes,Immediately
Web Development,Logiclump Technologies,DelhiNoidaHaryana,6,10000,,12 Aug' 21,,Immediately
Business Development (Sales),Red Media,Work From Home,3,4000,,12 Aug' 21,Yes,Immediately
Content Development (English),Barsha Samantaray,Work From Home,3,12000-15000,,12 Aug' 21,Yes,Immediately
Web Development,HACK-X Security,Pune,3,2500,,12 Aug' 21,Yes,Immediately
Web Development,The Product Company,Work From Home,3,,,12 Aug' 21,Yes,Immediately
Business Development (Sales),My Seven Chakras,Work From Home,4,7000,,12 Aug' 21,,Immediately
Account Management,Gloify,Bangalore,4,8000,,12 Aug' 21,,Immediately
React Development,Go2Words,Work From Home,2,1000,,12 Aug' 21,Yes,Immediately
Creative Writing,Vivela Stars,Work From Home,2,Unpaid,,12 Aug' 21,Yes,Immediately
Graphic Design,Which Colour You Want,NoidaDelhi,6,3000-5000,,12 Aug' 21,,Immediately
Graphic Design,The Blink Studio,DelhiNoida,3,4000-7000,,12 Aug' 21,,Immediately
WordPress Development,Charm Emporium,Work From Home,6,1000,,12 Aug' 21,Yes,Immediately
Content Writing,RP IT Solutions,Work From Home,2,1500,,12 Aug' 21,,Immediately
PHP Development,Webcluster Private Limited,Work From Home,1,3000-8000,,12 Aug' 21,,Immediately
Flutter Development,SRV IT Hub Private Limited,Work From Home,6,6000-12000,,12 Aug' 21,,Immediately
Recruitment (IT),NMS Games,Varanasi,3,5000,,12 Aug' 21,,Immediately
Web Design,BR Digital,Work From Home,3,10000,,12 Aug' 21,,Immediately
Content Writing,Which Colour You Want,DelhiNoida,3,3000,,12 Aug' 21,,Immediately
Marketing,ORAI Robotics Private Limited,Bangalore,3,5000,,12 Aug' 21,,Immediately
Marketing,Furlenco,Work From Home,3,10000,,12 Aug' 21,,Immediately
User Onboarding,Vaco Binary Semantics LLP,Work From Home,2 (Weeks),,,12 Aug' 21,,Immediately
Media & Public Relations (PR),Artists Association Of India,Work From Home,2,,,12 Aug' 21,,Immediately
Web Development,Wheelbox Automotive Private Limited,Work From Home,2,10000-12000,,12 Aug' 21,Yes,Immediately
Digital Marketing,Jansharnam,Work From Home,2,Unpaid,,12 Aug' 21,Yes,Immediately
Research - Green Finance,Janaagraha Center For Citizenship & Democracy,Work From Home,6,15000,,12 Aug' 21,,Immediately
Data Entry And Operations,Karishma Consultancy Services,Work From Home,4,2000-4000,,12 Aug' 21,,Immediately
Business Development (Sales),VEUM Atelier,Work From Home,1,1000,Yes,12 Aug' 21,Yes,Immediately
Operations (HR),Appexigo Technologies Private Limited,DelhiNoida,6,7000-10000,,12 Aug' 21,,Immediately
Content Writing,My Lil Princess,Work From Home,2,2000,,12 Aug' 21,,Immediately
Web Development,Nectar Pure Concepts,Delhi,2,10000,,12 Aug' 21,,Immediately
Event Management,GamersAlly,Work From Home,3,1000-1500,,12 Aug' 21,Yes,Immediately
Data Scraping (Web Scraping),STEP ON TECHNOLOGIES,Work From Home,2,3000,,12 Aug' 21,,Immediately
Social Media Marketing,Charm Emporium,Work From Home,3,1000,,12 Aug' 21,,Immediately
Content Writing,Tradologie,DelhiNoida,3,10000-15000,,12 Aug' 21,,Immediately
Digital Marketing,Econaur,Jaipur,3,5000-7000,,12 Aug' 21,,Immediately
Social Media Marketing,Netpuppys Technologies Private Limited,Gurgaon,3,9000,,12 Aug' 21,,Immediately
Business Development (Sales),Tradologie,DelhiGhaziabadNoida,3,8000,,12 Aug' 21,,Immediately
Full Stack Development (Angular/Firebase),Charm Emporium,Work From Home,3,1000,,12 Aug' 21,,Immediately
Marketing,Webspiders Interweb Private Limited,Jaipur,3,10000,,12 Aug' 21,,Immediately
Graphic Design,Kelkars Overseas Education Consultancy,Work From Home,6,3000,Yes,12 Aug' 21,,Immediately
Social Media Marketing,UPAY (Under Privileged’s Advancement By Youth),Work From Home,6,3000-4000,,12 Aug' 21,Yes,Immediately
Marketing,ITinker,Work From Home,1,10000,Yes,12 Aug' 21,Yes,Immediately
Web Development,Tailtoe,Work From Home,1,3000,,12 Aug' 21,Yes,Immediately
Graphic Design,Diamond Band Knife,Hyderabad,3,15000,,12 Aug' 21,,Immediately
Battery Design,DARWYN,AhmedabadGurgaonPuneBangalore,6,9000,,12 Aug' 21,,Immediately
Social Media Marketing,SMJ Foods,DelhiNoida,3,7000-10000,,12 Aug' 21,,Immediately
Web Development,Foundrmeet,Work From Home,1,1000,,12 Aug' 21,Yes,Immediately
Social Media Marketing,AAA 2 Innovate Private Limited,Noida,3,7000-10000,,12 Aug' 21,,Immediately
Business Development (Sales),PeakPals,DelhiGurgaonPuneMumbaiNoida,1,2200,,12 Aug' 21,,Immediately
Language Training (Tamil),Transchamp,Work From Home,3,3000-5000,,12 Aug' 21,Yes,Immediately
Customer Service,Kitstop India Private Limited,Coimbatore,1,5000-10000,,12 Aug' 21,,30 Aug - 29 Sep' 21
Training (Vedic Math),Transchamp,Work From Home,6,6000-12000,,12 Aug' 21,,Immediately
Teaching,Jeevan Jaagrati Foundation,Work From Home,3,Unpaid,,12 Aug' 21,,Immediately
Content Writing,Super CA,Work From Home,3,5000,,12 Aug' 21,Yes,Immediately
Online Training (English-Telugu),Transchamp,Work From Home,4,6000-12000,,12 Aug' 21,Yes,Immediately
Research & Training (Robotics),Leap Robots,Hyderabad,6,6000-8000,,12 Aug' 21,,Immediately
Content Development (language Hindi),Barsha Samantaray,Work From Home,3,12000-15000,,12 Aug' 21,Yes,Immediately
Python Development,Blush N More,Work From Home,3,1000,,12 Aug' 21,Yes,Immediately
Human Resources (HR),Promaynov Advisory Services Private Limited,Delhi,3,5000,,12 Aug' 21,,Immediately
Web Development (Node.js),Digital Aided School,Work From Home,2,2000,,12 Aug' 21,Yes,Immediately
Graphic Design,F2 Play Games Private Limited,Work From Home,3,3000-4000,,12 Aug' 21,,Immediately
WordPress Development,Blush N More,Work From Home,3,1000,,12 Aug' 21,Yes,Immediately
Springboot Development,Blush N More,Work From Home,3,1000,,12 Aug' 21,Yes,Immediately
Operations,Culture Booklet,Work From Home,2,3000-5000,,12 Aug' 21,,Immediately
Academic Consulting,UnchaAi,Work From Home,3,5000-10000,,12 Aug' 21,,Immediately
Graphic Design,Chennai Property Developers,Work From Home,2,3500,,12 Aug' 21,,Immediately
Web Development,The Wedding Matinee,Work From Home,2,5000,Yes,12 Aug' 21,Yes,Immediately
Springboot Development,Go2Words,Work From Home,3,1000,,12 Aug' 21,Yes,Immediately
UI Development,GetGo Logistics Private Limited,Mumbai,6,10000,,12 Aug' 21,,Immediately
Personal Assistance,Rainbow Enterprise,Work From Home,4,4000-5000,,12 Aug' 21,,Immediately
Python Development,Touchstone Foundation (TSF),Work From Home,3,Unpaid,,12 Aug' 21,,Immediately
Digital Marketing,Energific Solar Private Limited,Delhi,3,15000,,12 Aug' 21,Yes,Immediately
Teaching (Abacus),Transchamp,Work From Home,6,6000-12000,,12 Aug' 21,,Immediately
Import & Export Sales,Tahama Beverages And Food Private Limited,Work From Home,2,5000,,12 Aug' 21,,Immediately
Online Teaching (Korean),Language Fluent,Work From Home,6,5000-10000,,12 Aug' 21,Yes,Immediately
Search Engine Optimization (SEO),Professional Cipher,Work From Home,1,1000,,12 Aug' 21,Yes,Immediately
Web Development,Digital Aided School,Work From Home,2,2000,,12 Aug' 21,Yes,Immediately
Flutter Development,Uipro Corporation,Work From Home,3,2500-7000,,12 Aug' 21,,Immediately
Data Analytics,RSA Actuarial Services India Private Limited,Work From Home,6,20000,,12 Aug' 21,,Immediately
Graphic Design,People For Animals,Work From Home,3,Unpaid,,12 Aug' 21,,Immediately
Business Development (Sales),Udyati,Work From Home,2,5000,Yes,12 Aug' 21,,Immediately
Marketing,NuzPapr Technologies India Private Limited,Work From Home,2,7000,,12 Aug' 21,,Immediately
Mobile App Development,Krenai,FaridabadDelhiNoidaGurgaon,3,10000,,12 Aug' 21,,Immediately
Content Writing,Learn With Mochi,Work From Home,2,3000,,12 Aug' 21,Yes,Immediately
Front End Development,GetGo Logistics Private Limited,Mumbai,6,10000,,12 Aug' 21,,Immediately
Translation,KR Media,Work From Home,3,5000,,12 Aug' 21,Yes,Immediately
Web Development,NewsReach,Ahmedabad,1,10000,,12 Aug' 21,,Immediately
Storytelling,Bollygrad Studioz,Work From Home,6,3000,,12 Aug' 21,,Immediately
Mobile App Development,MyOORU Private Limited,Work From Home,6,10000-15000,,12 Aug' 21,,Immediately
Creative Writing,Raletta Technology Private Limited,Work From Home,3,1000,,12 Aug' 21,,Immediately
Digital Marketing,Volunteer For India,Work From Home,4,Unpaid,,12 Aug' 21,Yes,Immediately
Graphic Design,SASSY BOX,Work From Home,2,2000-3500,,12 Aug' 21,,Immediately
Front End Development,Medius Technologies Private Limited,Mumbai,6,10000,,12 Aug' 21,,Immediately
Operations,Bitpastel,Kolkata,6,8000-10000,,12 Aug' 21,,Immediately
Human Resources (HR),Bitpastel,Kolkata,6,7000-10000,,12 Aug' 21,,Immediately
Graphic Design,Rezzlon Private Limited,Work From Home,1,,,12 Aug' 21,Yes,Immediately
UI/UX Design,Flaxen Infosoft,IndoreDewasMhow,3,3000-7000,,12 Aug' 21,,Immediately
Brand Relations Management,Picture Dekho Productions,Work From Home,3,3000,,12 Aug' 21,Yes,Immediately
Operations,Degree 212 Investment Services & IMF Private Limited,Pune,3,10000-15000,,12 Aug' 21,,Immediately
Full Stack PHP Development,CCXNews,Work From Home,2,15000,,12 Aug' 21,,Immediately
Content Writing,AFV Hospitality Private Limited,Work From Home,3,3000,,12 Aug' 21,Yes,Immediately
Content Writing,Edubasta,Work From Home,3,2000,Yes,12 Aug' 21,,Immediately
Channel Sales,EC-Council,Work From Home,3,10000,,12 Aug' 21,,Immediately
Interior Design,The Project Story,Delhi,6,10000-18000,,12 Aug' 21,,Immediately
Supply Chain Management (SCM),Kitstop India Private Limited,Coimbatore,1,2000-4000,,12 Aug' 21,Yes,Immediately
Graphic Design,Digital Aided School,Work From Home,2,1000-4000,,12 Aug' 21,Yes,Immediately
Business Development (Sales),OTB Strategy,DelhiNoida,3,8000-10000,,12 Aug' 21,,Immediately
Social Media Marketing,Greenway Appliances,Work From Home,4,1000,,12 Aug' 21,,Immediately
Search Engine Optimization (SEO),Branding Pioneers,Gurgaon,6,5000,,12 Aug' 21,,Immediately
Business Development (Sales),Flaxen Infosoft,IndoreUjjainBhopalDewas,3,3000-7000,,12 Aug' 21,,Immediately
Content Writing,Growup Technologies,Work From Home,3,1000,Yes,12 Aug' 21,Yes,Immediately
UI/UX Design,Creators Desire Solutions,IndoreDewasMhow,3,3000-7000,,12 Aug' 21,,Immediately
Textile/Fashion/Accessories Design,Indevillez Private Limited,Bhubaneswar,2,3000-7500,,12 Aug' 21,,Immediately
UI Development,Medius Technologies Private Limited,Mumbai,6,10000,,12 Aug' 21,,Immediately
Flutter Development,Drivesme Technologies Private Limited,Work From Home,6,20000-25000,,12 Aug' 21,,Immediately
Digital Marketing,P Sunderam,Work From Home,3,1500,,12 Aug' 21,Yes,Immediately
Content Writing,Neo91 (DSBL Private Limited),Work From Home,6,10000-20000,,12 Aug' 21,,Immediately
Web Development,Yottol-TheGoodNetwork (WealthTech),Work From Home,3,2000,,12 Aug' 21,,Immediately
Market Research,Mindselo,Work From Home,2,1500,,12 Aug' 21,,Immediately
Operations,CO-OFFIZ,Delhi,3,5000,,12 Aug' 21,,Immediately
Sales & Marketing,HomeAmaze Private Limited,Work From Home,3,2500,,12 Aug' 21,,Immediately
Content Writing,TechKnowGear,Work From Home,3,10000,,12 Aug' 21,Yes,Immediately
Business Development (Sales),ENGEAR Education,Work From Home,6,10000,Yes,2 Sep' 21,,Immediately
Business Development (Sales),VeSure Technologies Private Limited,Delhi,3,7000,,12 Aug' 21,,Immediately
Law/Legal,Anil Shamdasani,Thane,6,4000,,12 Aug' 21,,Immediately
Subject Matter Expert (Physics),Megamind Education And Welfare Private Limited,Work From Home,3,1000,Yes,12 Aug' 21,Yes,Immediately
Graphic Design,Kashida Couture,Work From Home,1,3000-4000,,12 Aug' 21,Yes,Immediately
Subject Matter Expert (Mathematics),Megamind Education And Welfare Private Limited,Work From Home,3,1000,Yes,12 Aug' 21,Yes,Immediately
Social Media Marketing,DMS SOLUTIONS,Pune,6,2000,,12 Aug' 21,,Immediately
Graphic Design,Trove Craft,Hyderabad,6,8000,,12 Aug' 21,,Immediately
Data Research,ISN Business Solutions LLP,Mumbai,6,12000,,12 Aug' 21,,Immediately
ReactJS Development,AnsrOne,Work From Home,2,1000,,12 Aug' 21,Yes,Immediately
Web Development,Techlious Networks,Work From Home,3,1000,,12 Aug' 21,Yes,Immediately
Graphic Design,Creators Desire Solutions,IndoreDewasMhow,3,3000-7000,,12 Aug' 21,,Immediately
Digital Marketing,Shraddhashreegems,Delhi,4,10000,,12 Aug' 21,,Immediately
Content Writing,Clever Pages,Work From Home,3,2000,,12 Aug' 21,,Immediately
Web Development,Skillmile,Work From Home,2,5000-10000,,12 Aug' 21,,Immediately
Search Engine Optimization (SEO),Aastha Home Design Impex Private Limited (Ankit LLC),Indore,3,8000,,12 Aug' 21,,Immediately
Shoot Coordination,Blue Apple Weddings,Mumbai,3,2000,,12 Aug' 21,,Immediately
Operations,Mera Laundry,Work From Home,6,8000,,12 Aug' 21,,Immediately
Accounts,Deccan Terrain & Co.,Hyderabad,3,5000,,12 Aug' 21,,Immediately
Web Development,MindCrew Technologies Private Limited,Indore,6,10000-15000,,12 Aug' 21,,Immediately
Business Development (Sales),StudyCloud,NandedSolapurAmravatiJalnaJalgaon Kh.,4,7000-10000,,12 Aug' 21,,Immediately
Graphic Design,Ace 360,Mumbai,6,5000,,12 Aug' 21,,Immediately
Business Development (Sales),StudyCloud,NagpurNashik,6,10000-12000,,12 Aug' 21,,Immediately
Photography,Cuir Ally,Chennai,1,5000-10000,,12 Aug' 21,Yes,Immediately
Flutter Development - Enterprise Apps,Emvoke Technologies Private Limited,Work From Home,6,5000,,12 Aug' 21,Yes,Immediately
Field Sales,Nectar Pure Concepts,Delhi,2,10000,,12 Aug' 21,,Immediately
UI/UX Design,Codemischief.io,Work From Home,3,7000-12000,,12 Aug' 21,Yes,Immediately
Content Writing,The Secret Label,Work From Home,6,7000-10000,,12 Aug' 21,Yes,Immediately
Digital Marketing,Intelleon GmbH,Work From Home,4,4000-8000,,12 Aug' 21,Yes,Immediately
Business Development (Sales),Cyber A1 Global Solution LLP,Work From Home,3,4000,Yes,12 Aug' 21,Yes,Immediately
Human Resources (HR),Shreshtha Bharat Foundation,Work From Home,3,Unpaid,,12 Aug' 21,Yes,Immediately
Translation (Malayalam),Contexto,Work From Home,3,3000,,12 Aug' 21,Yes,Immediately
Social Media Marketing,Parmar Techmero Solutions Private Limited,Vadodara,3,4000-6000,,12 Aug' 21,Yes,Immediately
Field Research (Tamil Nadu),KindBeings,ChennaiSriperumbudurKanchipuram,1,5000,,12 Aug' 21,,Immediately
Creative Writing,GetGo Logistics Private Limited,Mumbai,6,10000,,12 Aug' 21,,Immediately
Human Resources (HR),Regatta Consultancy Services,Work From Home,3,4000-6000,,12 Aug' 21,,Immediately
Marketing,DhiSigma Systems Private Limited,Mysuru,2,8000,,12 Aug' 21,Yes,Immediately
HR Recruitment,Anzy Careers Private Limited,Bangalore,2,10000,,12 Aug' 21,,Immediately
Field Research (Odisha),KindBeings,KoraputRayagadaNowrangpurKalahandiKandhamalNaupada,1,2000,,12 Aug' 21,Yes,Immediately
Field Research (Uttar Pradesh),KindBeings,SiddharthnagarFatehpurBahraichChitrakootShravasti,1,2000,,12 Aug' 21,Yes,Immediately
Marketing,DhiSigma Systems Private Limited,Ahamdabad,2,8000,,12 Aug' 21,Yes,Immediately
Business Development (Sales),Regatta Consultancy Services,Work From Home,3,4000-6000,,12 Aug' 21,,Immediately
Content Writing,Intrepid Websoul Private Limited,Work From Home,6,4000-8000,,12 Aug' 21,Yes,Immediately
Field Research (Chhattisgarh),KindBeings,KankerMahasamundKondagaonRajnandgaonBijapurNarayanpurSukma,1,2000,,12 Aug' 21,Yes,Immediately
Business Development (Sales),AtoZLearn Edutech Private Limited (Ixambee.com),Delhi,3,10000,,12 Aug' 21,,Immediately
Human Resources (HR),CometAid (a CometCatapult Initiative),Work From Home,1 (Week),1000,Yes,12 Aug' 21,Yes,Immediately
Web Development,Weknow Technologies,LucknowFaizabad,6,5000-8000,,12 Aug' 21,,Immediately
Field Research (Bihar),KindBeings,ArariaBegusaraiSitamarhiNawadaKhagariaBankaSheikhpuraPurnia,1,2000,,12 Aug' 21,Yes,Immediately
Product Management,UpBrinGO,Work From Home,2,4000-6000,,12 Aug' 21,,Immediately
Digital Marketing,Lawnics Technologies Private Limited,Work From Home,3,1000-5000,,12 Aug' 21,,Immediately
Creative Writing,Medius Technologies Private Limited,Mumbai,6,10000,,12 Aug' 21,,Immediately
Machine Learning,SkillBit,Pune,2,5000,,12 Aug' 21,Yes,Immediately
Content Writing,La Polo,Work From Home,2,2000,,12 Aug' 21,,Immediately
Anchoring And Content Creation,Lawnics Technologies Private Limited,Work From Home,6,2000-5000,,12 Aug' 21,,Immediately
Graphic Design,NLET Initiatives LLP,Rajasthan,6,5000,,12 Aug' 21,,Immediately
Content Writing,Reliable And Valid,Work From Home,2,5000,,12 Aug' 21,Yes,Immediately
Video Making/Editing,PeakPals,DelhiGurgaonNoida,1,2000,,12 Aug' 21,,Immediately
